 log g Teff  log Z Vel   a(CBBED)
 log g Teff  log Z Vel   b(CBBED)
 log g Teff  log Z Vel  xi(CBBED)
 4.50  9000. -5.0  2.0   0.1929
 4.50  9000. -5.0  2.0   0.2413
 4.50  9000. -5.0  2.0   0.0069
 5.00  9000. -5.0  2.0   0.2010
 5.00  9000. -5.0  2.0   0.2324
 5.00  9000. -5.0  2.0   0.0059
 2.00  9250. -5.0  2.0   0.1680
 2.00  9250. -5.0  2.0   0.2922
 2.00  9250. -5.0  2.0   0.0164
 2.50  9250. -5.0  2.0   0.1634
 2.50  9250. -5.0  2.0   0.2783
 2.50  9250. -5.0  2.0   0.0142
 3.00  9250. -5.0  2.0   0.1649
 3.00  9250. -5.0  2.0   0.2665
 3.00  9250. -5.0  2.0   0.0119
 3.50  9250. -5.0  2.0   0.1685
 3.50  9250. -5.0  2.0   0.2581
 3.50  9250. -5.0  2.0   0.0103
 4.00  9250. -5.0  2.0   0.1728
 4.00  9250. -5.0  2.0   0.2523
 4.00  9250. -5.0  2.0   0.0091
 4.50  9250. -5.0  2.0   0.1785
 4.50  9250. -5.0  2.0   0.2463
 4.50  9250. -5.0  2.0   0.0080
 5.00  9250. -5.0  2.0   0.1852
 5.00  9250. -5.0  2.0   0.2389
 5.00  9250. -5.0  2.0   0.0070
 2.00  9500. -5.0  2.0   0.1644
 2.00  9500. -5.0  2.0   0.2927
 2.00  9500. -5.0  2.0   0.0168
 2.50  9500. -5.0  2.0   0.1585
 2.50  9500. -5.0  2.0   0.2779
 2.50  9500. -5.0  2.0   0.0146
 3.00  9500. -5.0  2.0   0.1586
 3.00  9500. -5.0  2.0   0.2660
 3.00  9500. -5.0  2.0   0.0124
 3.50  9500. -5.0  2.0   0.1612
 3.50  9500. -5.0  2.0   0.2576
 3.50  9500. -5.0  2.0   0.0108
 4.00  9500. -5.0  2.0   0.1637
 4.00  9500. -5.0  2.0   0.2527
 4.00  9500. -5.0  2.0   0.0097
 4.50  9500. -5.0  2.0   0.1673
 4.50  9500. -5.0  2.0   0.2486
 4.50  9500. -5.0  2.0   0.0089
 5.00  9500. -5.0  2.0   0.1718
 5.00  9500. -5.0  2.0   0.2435
 5.00  9500. -5.0  2.0   0.0080
 2.00  9750. -5.0  2.0   0.1614
 2.00  9750. -5.0  2.0   0.2931
 2.00  9750. -5.0  2.0   0.0171
 2.50  9750. -5.0  2.0   0.1541
 2.50  9750. -5.0  2.0   0.2778
 2.50  9750. -5.0  2.0   0.0150
 3.00  9750. -5.0  2.0   0.1535
 3.00  9750. -5.0  2.0   0.2652
 3.00  9750. -5.0  2.0   0.0127
 3.50  9750. -5.0  2.0   0.1548
 3.50  9750. -5.0  2.0   0.2571
 3.50  9750. -5.0  2.0   0.0111
 4.00  9750. -5.0  2.0   0.1569
 4.00  9750. -5.0  2.0   0.2520
 4.00  9750. -5.0  2.0   0.0102
 4.50  9750. -5.0  2.0   0.1584
 4.50  9750. -5.0  2.0   0.2492
 4.50  9750. -5.0  2.0   0.0095
 5.00  9750. -5.0  2.0   0.1611
 5.00  9750. -5.0  2.0   0.2459
 5.00  9750. -5.0  2.0   0.0089
 2.00 10000. -5.0  2.0   0.1582
 2.00 10000. -5.0  2.0   0.2942
 2.00 10000. -5.0  2.0   0.0174
 2.50 10000. -5.0  2.0   0.1504
 2.50 10000. -5.0  2.0   0.2776
 2.50 10000. -5.0  2.0   0.0153
 3.00 10000. -5.0  2.0   0.1491
 3.00 10000. -5.0  2.0   0.2645
 3.00 10000. -5.0  2.0   0.0130
 3.50 10000. -5.0  2.0   0.1497
 3.50 10000. -5.0  2.0   0.2563
 3.50 10000. -5.0  2.0   0.0114
 4.00 10000. -5.0  2.0   0.1512
 4.00 10000. -5.0  2.0   0.2512
 4.00 10000. -5.0  2.0   0.0104
 4.50 10000. -5.0  2.0   0.1518
 4.50 10000. -5.0  2.0   0.2488
 4.50 10000. -5.0  2.0   0.0099
 5.00 10000. -5.0  2.0   0.1531
 5.00 10000. -5.0  2.0   0.2464
 5.00 10000. -5.0  2.0   0.0095
 2.00 10500. -5.0  2.0   0.1526
 2.00 10500. -5.0  2.0   0.2964
 2.00 10500. -5.0  2.0   0.0181
 2.50 10500. -5.0  2.0   0.1438
 2.50 10500. -5.0  2.0   0.2777
 2.50 10500. -5.0  2.0   0.0158
 3.00 10500. -5.0  2.0   0.1418
 3.00 10500. -5.0  2.0   0.2630
 3.00 10500. -5.0  2.0   0.0134
 3.50 10500. -5.0  2.0   0.1418
 3.50 10500. -5.0  2.0   0.2540
 3.50 10500. -5.0  2.0   0.0117
 4.00 10500. -5.0  2.0   0.1426
 4.00 10500. -5.0  2.0   0.2488
 4.00 10500. -5.0  2.0   0.0108
 4.50 10500. -5.0  2.0   0.1422
 4.50 10500. -5.0  2.0   0.2467
 4.50 10500. -5.0  2.0   0.0103
 5.00 10500. -5.0  2.0   0.1415
 5.00 10500. -5.0  2.0   0.2455
 5.00 10500. -5.0  2.0   0.0101
 2.50 11000. -5.0  2.0   0.1379
 2.50 11000. -5.0  2.0   0.2781
 2.50 11000. -5.0  2.0   0.0165
 3.00 11000. -5.0  2.0   0.1359
 3.00 11000. -5.0  2.0   0.2616
 3.00 11000. -5.0  2.0   0.0137
 3.50 11000. -5.0  2.0   0.1355
 3.50 11000. -5.0  2.0   0.2516
 3.50 11000. -5.0  2.0   0.0118
 4.00 11000. -5.0  2.0   0.1358
 4.00 11000. -5.0  2.0   0.2461
 4.00 11000. -5.0  2.0   0.0108
 4.50 11000. -5.0  2.0   0.1353
 4.50 11000. -5.0  2.0   0.2439
 4.50 11000. -5.0  2.0   0.0104
 5.00 11000. -5.0  2.0   0.1338
 5.00 11000. -5.0  2.0   0.2432
 5.00 11000. -5.0  2.0   0.0103
 2.50 11500. -5.0  2.0   0.1327
 2.50 11500. -5.0  2.0   0.2787
 2.50 11500. -5.0  2.0   0.0171
 3.00 11500. -5.0  2.0   0.1305
 3.00 11500. -5.0  2.0   0.2605
 3.00 11500. -5.0  2.0   0.0141
 3.50 11500. -5.0  2.0   0.1305
 3.50 11500. -5.0  2.0   0.2490
 3.50 11500. -5.0  2.0   0.0120
 4.00 11500. -5.0  2.0   0.1304
 4.00 11500. -5.0  2.0   0.2430
 4.00 11500. -5.0  2.0   0.0109
 4.50 11500. -5.0  2.0   0.1297
 4.50 11500. -5.0  2.0   0.2408
 4.50 11500. -5.0  2.0   0.0104
 5.00 11500. -5.0  2.0   0.1281
 5.00 11500. -5.0  2.0   0.2403
 5.00 11500. -5.0  2.0   0.0104
 2.50 12000. -5.0  2.0   0.1282
 2.50 12000. -5.0  2.0   0.2794
 2.50 12000. -5.0  2.0   0.0178
 3.00 12000. -5.0  2.0   0.1257
 3.00 12000. -5.0  2.0   0.2596
 3.00 12000. -5.0  2.0   0.0145
 3.50 12000. -5.0  2.0   0.1258
 3.50 12000. -5.0  2.0   0.2467
 3.50 12000. -5.0  2.0   0.0122
 4.00 12000. -5.0  2.0   0.1258
 4.00 12000. -5.0  2.0   0.2400
 4.00 12000. -5.0  2.0   0.0109
 4.50 12000. -5.0  2.0   0.1252
 4.50 12000. -5.0  2.0   0.2372
 4.50 12000. -5.0  2.0   0.0103
 5.00 12000. -5.0  2.0   0.1235
 5.00 12000. -5.0  2.0   0.2369
 5.00 12000. -5.0  2.0   0.0103
 2.50 12500. -5.0  2.0   0.1242
 2.50 12500. -5.0  2.0   0.2803
 2.50 12500. -5.0  2.0   0.0186
 3.00 12500. -5.0  2.0   0.1214
 3.00 12500. -5.0  2.0   0.2588
 3.00 12500. -5.0  2.0   0.0149
 3.50 12500. -5.0  2.0   0.1215
 3.50 12500. -5.0  2.0   0.2448
 3.50 12500. -5.0  2.0   0.0123
 4.00 12500. -5.0  2.0   0.1215
 4.00 12500. -5.0  2.0   0.2372
 4.00 12500. -5.0  2.0   0.0109
 4.50 12500. -5.0  2.0   0.1211
 4.50 12500. -5.0  2.0   0.2340
 4.50 12500. -5.0  2.0   0.0102
 5.00 12500. -5.0  2.0   0.1195
 5.00 12500. -5.0  2.0   0.2334
 5.00 12500. -5.0  2.0   0.0101
 2.50 13000. -5.0  2.0   0.1204
 2.50 13000. -5.0  2.0   0.2817
 2.50 13000. -5.0  2.0   0.0193
 3.00 13000. -5.0  2.0   0.1177
 3.00 13000. -5.0  2.0   0.2582
 3.00 13000. -5.0  2.0   0.0154
 3.50 13000. -5.0  2.0   0.1176
 3.50 13000. -5.0  2.0   0.2430
 3.50 13000. -5.0  2.0   0.0125
 4.00 13000. -5.0  2.0   0.1178
 4.00 13000. -5.0  2.0   0.2345
 4.00 13000. -5.0  2.0   0.0109
 4.50 13000. -5.0  2.0   0.1176
 4.50 13000. -5.0  2.0   0.2305
 4.50 13000. -5.0  2.0   0.0102
 5.00 13000. -5.0  2.0   0.1158
 5.00 13000. -5.0  2.0   0.2300
 5.00 13000. -5.0  2.0   0.0100
 2.00 14000. -5.0  2.0   0.1351
 2.00 14000. -5.0  2.0   0.3147
 2.00 14000. -5.0  2.0   0.0226
 2.50 14000. -5.0  2.0   0.1144
 2.50 14000. -5.0  2.0   0.2847
 2.50 14000. -5.0  2.0   0.0207
 3.00 14000. -5.0  2.0   0.1109
 3.00 14000. -5.0  2.0   0.2577
 3.00 14000. -5.0  2.0   0.0163
 3.50 14000. -5.0  2.0   0.1112
 3.50 14000. -5.0  2.0   0.2396
 3.50 14000. -5.0  2.0   0.0129
 4.00 14000. -5.0  2.0   0.1117
 4.00 14000. -5.0  2.0   0.2293
 4.00 14000. -5.0  2.0   0.0109
 4.50 14000. -5.0  2.0   0.1115
 4.50 14000. -5.0  2.0   0.2242
 4.50 14000. -5.0  2.0   0.0100
 5.00 14000. -5.0  2.0   0.1100
 5.00 14000. -5.0  2.0   0.2229
 5.00 14000. -5.0  2.0   0.0097
 2.50 15000. -5.0  2.0   0.1091
 2.50 15000. -5.0  2.0   0.2892
 2.50 15000. -5.0  2.0   0.0222
 3.00 15000. -5.0  2.0   0.1052
 3.00 15000. -5.0  2.0   0.2581
 3.00 15000. -5.0  2.0   0.0173
 3.50 15000. -5.0  2.0   0.1058
 3.50 15000. -5.0  2.0   0.2370
 3.50 15000. -5.0  2.0   0.0134
 4.00 15000. -5.0  2.0   0.1065
 4.00 15000. -5.0  2.0   0.2248
 4.00 15000. -5.0  2.0   0.0110
 4.50 15000. -5.0  2.0   0.1063
 4.50 15000. -5.0  2.0   0.2187
 4.50 15000. -5.0  2.0   0.0099
 5.00 15000. -5.0  2.0   0.1048
 5.00 15000. -5.0  2.0   0.2167
 5.00 15000. -5.0  2.0   0.0095
 2.50 16000. -5.0  2.0   0.1045
 2.50 16000. -5.0  2.0   0.2947
 2.50 16000. -5.0  2.0   0.0238
 3.00 16000. -5.0  2.0   0.0995
 3.00 16000. -5.0  2.0   0.2602
 3.00 16000. -5.0  2.0   0.0185
 3.50 16000. -5.0  2.0   0.1004
 3.50 16000. -5.0  2.0   0.2360
 3.50 16000. -5.0  2.0   0.0139
 4.00 16000. -5.0  2.0   0.1018
 4.00 16000. -5.0  2.0   0.2214
 4.00 16000. -5.0  2.0   0.0112
 4.50 16000. -5.0  2.0   0.1017
 4.50 16000. -5.0  2.0   0.2143
 4.50 16000. -5.0  2.0   0.0099
 5.00 16000. -5.0  2.0   0.1005
 5.00 16000. -5.0  2.0   0.2113
 5.00 16000. -5.0  2.0   0.0093
 2.50 17000. -5.0  2.0   0.1007
 2.50 17000. -5.0  2.0   0.3011
 2.50 17000. -5.0  2.0   0.0254
 3.00 17000. -5.0  2.0   0.0939
 3.00 17000. -5.0  2.0   0.2635
 3.00 17000. -5.0  2.0   0.0199
 3.50 17000. -5.0  2.0   0.0954
 3.50 17000. -5.0  2.0   0.2359
 3.50 17000. -5.0  2.0   0.0147
 4.00 17000. -5.0  2.0   0.0973
 4.00 17000. -5.0  2.0   0.2191
 4.00 17000. -5.0  2.0   0.0115
 4.50 17000. -5.0  2.0   0.0976
 4.50 17000. -5.0  2.0   0.2104
 4.50 17000. -5.0  2.0   0.0099
 5.00 17000. -5.0  2.0   0.0967
 5.00 17000. -5.0  2.0   0.2067
 5.00 17000. -5.0  2.0   0.0093
 2.50 18000. -5.0  2.0   0.0985
 2.50 18000. -5.0  2.0   0.3078
 2.50 18000. -5.0  2.0   0.0270
 3.00 18000. -5.0  2.0   0.0884
 3.00 18000. -5.0  2.0   0.2676
 3.00 18000. -5.0  2.0   0.0215
 3.50 18000. -5.0  2.0   0.0899
 3.50 18000. -5.0  2.0   0.2373
 3.50 18000. -5.0  2.0   0.0157
 4.00 18000. -5.0  2.0   0.0927
 4.00 18000. -5.0  2.0   0.2181
 4.00 18000. -5.0  2.0   0.0120
 4.50 18000. -5.0  2.0   0.0935
 4.50 18000. -5.0  2.0   0.2079
 4.50 18000. -5.0  2.0   0.0101
 5.00 18000. -5.0  2.0   0.0931
 5.00 18000. -5.0  2.0   0.2030
 5.00 18000. -5.0  2.0   0.0093
 2.50 19000. -5.0  2.0   0.0988
 2.50 19000. -5.0  2.0   0.3146
 2.50 19000. -5.0  2.0   0.0283
 3.00 19000. -5.0  2.0   0.0832
 3.00 19000. -5.0  2.0   0.2723
 3.00 19000. -5.0  2.0   0.0233
 3.50 19000. -5.0  2.0   0.0846
 3.50 19000. -5.0  2.0   0.2390
 3.50 19000. -5.0  2.0   0.0169
 4.00 19000. -5.0  2.0   0.0876
 4.00 19000. -5.0  2.0   0.2181
 4.00 19000. -5.0  2.0   0.0127
 4.50 19000. -5.0  2.0   0.0893
 4.50 19000. -5.0  2.0   0.2062
 4.50 19000. -5.0  2.0   0.0105
 5.00 19000. -5.0  2.0   0.0893
 5.00 19000. -5.0  2.0   0.2005
 5.00 19000. -5.0  2.0   0.0095
 3.00 20000. -5.0  2.0   0.0791
 3.00 20000. -5.0  2.0   0.2775
 3.00 20000. -5.0  2.0   0.0253
 3.50 20000. -5.0  2.0   0.0792
 3.50 20000. -5.0  2.0   0.2416
 3.50 20000. -5.0  2.0   0.0184
 4.00 20000. -5.0  2.0   0.0826
 4.00 20000. -5.0  2.0   0.2186
 4.00 20000. -5.0  2.0   0.0136
 4.50 20000. -5.0  2.0   0.0844
 4.50 20000. -5.0  2.0   0.2059
 4.50 20000. -5.0  2.0   0.0110
 5.00 20000. -5.0  2.0   0.0852
 5.00 20000. -5.0  2.0   0.1990
 5.00 20000. -5.0  2.0   0.0098
 3.00 21000. -5.0  2.0   0.0758
 3.00 21000. -5.0  2.0   0.2839
 3.00 21000. -5.0  2.0   0.0272
 3.50 21000. -5.0  2.0   0.0745
 3.50 21000. -5.0  2.0   0.2447
 3.50 21000. -5.0  2.0   0.0200
 4.00 21000. -5.0  2.0   0.0774
 4.00 21000. -5.0  2.0   0.2198
 4.00 21000. -5.0  2.0   0.0148
 4.50 21000. -5.0  2.0   0.0797
 4.50 21000. -5.0  2.0   0.2057
 4.50 21000. -5.0  2.0   0.0118
 5.00 21000. -5.0  2.0   0.0807
 5.00 21000. -5.0  2.0   0.1984
 5.00 21000. -5.0  2.0   0.0104
 3.00 22000. -5.0  2.0   0.0735
 3.00 22000. -5.0  2.0   0.2910
 3.00 22000. -5.0  2.0   0.0290
 3.50 22000. -5.0  2.0   0.0701
 3.50 22000. -5.0  2.0   0.2493
 3.50 22000. -5.0  2.0   0.0218
 4.00 22000. -5.0  2.0   0.0728
 4.00 22000. -5.0  2.0   0.2217
 4.00 22000. -5.0  2.0   0.0161
 4.50 22000. -5.0  2.0   0.0751
 4.50 22000. -5.0  2.0   0.2062
 4.50 22000. -5.0  2.0   0.0127
 5.00 22000. -5.0  2.0   0.0762
 5.00 22000. -5.0  2.0   0.1982
 5.00 22000. -5.0  2.0   0.0111
 3.00 23000. -5.0  2.0   0.0723
 3.00 23000. -5.0  2.0   0.2987
 3.00 23000. -5.0  2.0   0.0305
 3.50 23000. -5.0  2.0   0.0660
 3.50 23000. -5.0  2.0   0.2549
 3.50 23000. -5.0  2.0   0.0236
 4.00 23000. -5.0  2.0   0.0683
 4.00 23000. -5.0  2.0   0.2250
 4.00 23000. -5.0  2.0   0.0175
 4.50 23000. -5.0  2.0   0.0705
 4.50 23000. -5.0  2.0   0.2077
 4.50 23000. -5.0  2.0   0.0138
 5.00 23000. -5.0  2.0   0.0716
 5.00 23000. -5.0  2.0   0.1989
 5.00 23000. -5.0  2.0   0.0119
 3.00 24000. -5.0  2.0   0.0725
 3.00 24000. -5.0  2.0   0.3068
 3.00 24000. -5.0  2.0   0.0315
 3.50 24000. -5.0  2.0   0.0623
 3.50 24000. -5.0  2.0   0.2614
 3.50 24000. -5.0  2.0   0.0254
 4.00 24000. -5.0  2.0   0.0638
 4.00 24000. -5.0  2.0   0.2294
 4.00 24000. -5.0  2.0   0.0190
 4.50 24000. -5.0  2.0   0.0660
 4.50 24000. -5.0  2.0   0.2105
 4.50 24000. -5.0  2.0   0.0150
 5.00 24000. -5.0  2.0   0.0673
 5.00 24000. -5.0  2.0   0.2004
 5.00 24000. -5.0  2.0   0.0128
 3.00 25000. -5.0  2.0   0.0733
 3.00 25000. -5.0  2.0   0.3158
 3.00 25000. -5.0  2.0   0.0319
 3.50 25000. -5.0  2.0   0.0592
 3.50 25000. -5.0  2.0   0.2683
 3.50 25000. -5.0  2.0   0.0269
 4.00 25000. -5.0  2.0   0.0597
 4.00 25000. -5.0  2.0   0.2347
 4.00 25000. -5.0  2.0   0.0204
 4.50 25000. -5.0  2.0   0.0619
 4.50 25000. -5.0  2.0   0.2140
 4.50 25000. -5.0  2.0   0.0161
 5.00 25000. -5.0  2.0   0.0633
 5.00 25000. -5.0  2.0   0.2027
 5.00 25000. -5.0  2.0   0.0138
 3.00 26000. -5.0  2.0   0.0705
 3.00 26000. -5.0  2.0   0.3269
 3.00 26000. -5.0  2.0   0.0323
 3.50 26000. -5.0  2.0   0.0562
 3.50 26000. -5.0  2.0   0.2754
 3.50 26000. -5.0  2.0   0.0280
 4.00 26000. -5.0  2.0   0.0560
 4.00 26000. -5.0  2.0   0.2399
 4.00 26000. -5.0  2.0   0.0216
 4.50 26000. -5.0  2.0   0.0580
 4.50 26000. -5.0  2.0   0.2180
 4.50 26000. -5.0  2.0   0.0171
 5.00 26000. -5.0  2.0   0.0594
 5.00 26000. -5.0  2.0   0.2056
 5.00 26000. -5.0  2.0   0.0146
 3.50 27000. -5.0  2.0   0.0534
 3.50 27000. -5.0  2.0   0.2820
 3.50 27000. -5.0  2.0   0.0289
 4.00 27000. -5.0  2.0   0.0525
 4.00 27000. -5.0  2.0   0.2450
 4.00 27000. -5.0  2.0   0.0225
 4.50 27000. -5.0  2.0   0.0546
 4.50 27000. -5.0  2.0   0.2217
 4.50 27000. -5.0  2.0   0.0179
 5.00 27000. -5.0  2.0   0.0558
 5.00 27000. -5.0  2.0   0.2086
 5.00 27000. -5.0  2.0   0.0152
 3.50 28000. -5.0  2.0   0.0491
 3.50 28000. -5.0  2.0   0.2875
 3.50 28000. -5.0  2.0   0.0296
 4.00 28000. -5.0  2.0   0.0494
 4.00 28000. -5.0  2.0   0.2489
 4.00 28000. -5.0  2.0   0.0230
 4.50 28000. -5.0  2.0   0.0514
 4.50 28000. -5.0  2.0   0.2246
 4.50 28000. -5.0  2.0   0.0183
 5.00 28000. -5.0  2.0   0.0527
 5.00 28000. -5.0  2.0   0.2107
 5.00 28000. -5.0  2.0   0.0154
 3.50 29000. -5.0  2.0   0.0429
 3.50 29000. -5.0  2.0   0.2911
 3.50 29000. -5.0  2.0   0.0304
 4.00 29000. -5.0  2.0   0.0462
 4.00 29000. -5.0  2.0   0.2509
 4.00 29000. -5.0  2.0   0.0232
 4.50 29000. -5.0  2.0   0.0487
 4.50 29000. -5.0  2.0   0.2258
 4.50 29000. -5.0  2.0   0.0183
 5.00 29000. -5.0  2.0   0.0502
 5.00 29000. -5.0  2.0   0.2113
 5.00 29000. -5.0  2.0   0.0153
 3.50 30000. -5.0  2.0   0.0360
 3.50 30000. -5.0  2.0   0.2941
 3.50 30000. -5.0  2.0   0.0317
 4.00 30000. -5.0  2.0   0.0424
 4.00 30000. -5.0  2.0   0.2506
 4.00 30000. -5.0  2.0   0.0232
 4.50 30000. -5.0  2.0   0.0462
 4.50 30000. -5.0  2.0   0.2247
 4.50 30000. -5.0  2.0   0.0179
 5.00 30000. -5.0  2.0   0.0483
 5.00 30000. -5.0  2.0   0.2095
 5.00 30000. -5.0  2.0   0.0148
 3.50 31000. -5.0  2.0   0.0289
 3.50 31000. -5.0  2.0   0.2987
 3.50 31000. -5.0  2.0   0.0335
 4.00 31000. -5.0  2.0   0.0380
 4.00 31000. -5.0  2.0   0.2487
 4.00 31000. -5.0  2.0   0.0232
 4.50 31000. -5.0  2.0   0.0439
 4.50 31000. -5.0  2.0   0.2211
 4.50 31000. -5.0  2.0   0.0173
 5.00 31000. -5.0  2.0   0.0470
 5.00 31000. -5.0  2.0   0.2050
 5.00 31000. -5.0  2.0   0.0140
 4.00 32000. -5.0  2.0   0.0334
 4.00 32000. -5.0  2.0   0.2468
 4.00 32000. -5.0  2.0   0.0236
 4.50 32000. -5.0  2.0   0.0415
 4.50 32000. -5.0  2.0   0.2158
 4.50 32000. -5.0  2.0   0.0166
 5.00 32000. -5.0  2.0   0.0456
 5.00 32000. -5.0  2.0   0.1987
 5.00 32000. -5.0  2.0   0.0129
 4.00 33000. -5.0  2.0   0.0278
 4.00 33000. -5.0  2.0   0.2466
 4.00 33000. -5.0  2.0   0.0245
 4.50 33000. -5.0  2.0   0.0386
 4.50 33000. -5.0  2.0   0.2104
 4.50 33000. -5.0  2.0   0.0162
 5.00 33000. -5.0  2.0   0.0442
 5.00 33000. -5.0  2.0   0.1912
 5.00 33000. -5.0  2.0   0.0120
 4.00 34000. -5.0  2.0   0.0205
 4.00 34000. -5.0  2.0   0.2483
 4.00 34000. -5.0  2.0   0.0258
 4.50 34000. -5.0  2.0   0.0350
 4.50 34000. -5.0  2.0   0.2062
 4.50 34000. -5.0  2.0   0.0162
 5.00 34000. -5.0  2.0   0.0428
 5.00 34000. -5.0  2.0   0.1834
 5.00 34000. -5.0  2.0   0.0113
 4.00 35000. -5.0  2.0   0.0122
 4.00 35000. -5.0  2.0   0.2500
 4.00 35000. -5.0  2.0   0.0275
 4.50 35000. -5.0  2.0   0.0301
 4.50 35000. -5.0  2.0   0.2033
 4.50 35000. -5.0  2.0   0.0164
 5.00 35000. -5.0  2.0   0.0403
 5.00 35000. -5.0  2.0   0.1770
 5.00 35000. -5.0  2.0   0.0108
 4.50 37500. -5.0  2.0   0.0143
 4.50 37500. -5.0  2.0   0.1969
 4.50 37500. -5.0  2.0   0.0182
 5.00 37500. -5.0  2.0   0.0298
 5.00 37500. -5.0  2.0   0.1637
 5.00 37500. -5.0  2.0   0.0104
 4.50 40000. -5.0  2.0   0.0031
 4.50 40000. -5.0  2.0   0.1933
 4.50 40000. -5.0  2.0   0.0206
 5.00 40000. -5.0  2.0   0.0184
 5.00 40000. -5.0  2.0   0.1535
 5.00 40000. -5.0  2.0   0.0112
 5.00 42500. -5.0  2.0   0.0115
 5.00 42500. -5.0  2.0   0.1499
 5.00 42500. -5.0  2.0   0.0123
 5.00 45000. -5.0  2.0   0.0076
 5.00 45000. -5.0  2.0   0.1506
 5.00 45000. -5.0  2.0   0.0133
 5.00 47500. -5.0  2.0   0.0061
 5.00 47500. -5.0  2.0   0.1519
 5.00 47500. -5.0  2.0   0.0139
 5.00 50000. -5.0  2.0   0.0052
 5.00 50000. -5.0  2.0   0.1535
 5.00 50000. -5.0  2.0   0.0144
 0.00  3500. -4.5  2.0   0.4667
 0.00  3500. -4.5  2.0   0.1657
 0.00  3500. -4.5  2.0   0.0009
 0.50  3500. -4.5  2.0   0.3938
 0.50  3500. -4.5  2.0   0.2243
 0.50  3500. -4.5  2.0   0.0028
 1.00  3500. -4.5  2.0   0.2793
 1.00  3500. -4.5  2.0   0.3121
 1.00  3500. -4.5  2.0   0.0081
 1.50  3500. -4.5  2.0   0.1935
 1.50  3500. -4.5  2.0   0.3791
 1.50  3500. -4.5  2.0   0.0144
 2.00  3500. -4.5  2.0   0.1578
 2.00  3500. -4.5  2.0   0.4011
 2.00  3500. -4.5  2.0   0.0190
 2.50  3500. -4.5  2.0   0.1522
 2.50  3500. -4.5  2.0   0.4083
 2.50  3500. -4.5  2.0   0.0194
 3.00  3500. -4.5  2.0   0.1677
 3.00  3500. -4.5  2.0   0.3985
 3.00  3500. -4.5  2.0   0.0162
 0.00  3750. -4.5  2.0   0.4239
 0.00  3750. -4.5  2.0   0.1952
 0.00  3750. -4.5  2.0   0.0032
 0.50  3750. -4.5  2.0   0.3745
 0.50  3750. -4.5  2.0   0.2368
 0.50  3750. -4.5  2.0   0.0047
 1.00  3750. -4.5  2.0   0.3203
 1.00  3750. -4.5  2.0   0.2730
 1.00  3750. -4.5  2.0   0.0078
 1.50  3750. -4.5  2.0   0.2213
 1.50  3750. -4.5  2.0   0.3381
 1.50  3750. -4.5  2.0   0.0163
 2.00  3750. -4.5  2.0   0.1135
 2.00  3750. -4.5  2.0   0.4072
 2.00  3750. -4.5  2.0   0.0297
 2.50  3750. -4.5  2.0   0.0587
 2.50  3750. -4.5  2.0   0.4392
 2.50  3750. -4.5  2.0   0.0409
 3.00  3750. -4.5  2.0   0.0429
 3.00  3750. -4.5  2.0   0.4529
 3.00  3750. -4.5  2.0   0.0444
 3.50  3750. -4.5  2.0   0.0495
 3.50  3750. -4.5  2.0   0.4876
 3.50  3750. -4.5  2.0   0.0331
 0.00  4000. -4.5  2.0   0.4088
 0.00  4000. -4.5  2.0   0.1964
 0.00  4000. -4.5  2.0   0.0055
 0.50  4000. -4.5  2.0   0.3590
 0.50  4000. -4.5  2.0   0.2364
 0.50  4000. -4.5  2.0   0.0074
 1.00  4000. -4.5  2.0   0.3058
 1.00  4000. -4.5  2.0   0.2794
 1.00  4000. -4.5  2.0   0.0097
 1.50  4000. -4.5  2.0   0.2542
 1.50  4000. -4.5  2.0   0.3186
 1.50  4000. -4.5  2.0   0.0130
 2.00  4000. -4.5  2.0   0.1988
 2.00  4000. -4.5  2.0   0.3366
 2.00  4000. -4.5  2.0   0.0202
 2.50  4000. -4.5  2.0   0.1003
 2.50  4000. -4.5  2.0   0.3890
 2.50  4000. -4.5  2.0   0.0358
 3.00  4000. -4.5  2.0   0.0283
 3.00  4000. -4.5  2.0   0.4259
 3.00  4000. -4.5  2.0   0.0545
 3.50  4000. -4.5  2.0  -0.0057
 3.50  4000. -4.5  2.0   0.4453
 3.50  4000. -4.5  2.0   0.0666
 4.00  4000. -4.5  2.0  -0.0309
 4.00  4000. -4.5  2.0   0.4956
 4.00  4000. -4.5  2.0   0.0718
 0.00  4250. -4.5  2.0   0.3995
 0.00  4250. -4.5  2.0   0.1941
 0.00  4250. -4.5  2.0   0.0066
 0.50  4250. -4.5  2.0   0.3569
 0.50  4250. -4.5  2.0   0.2271
 0.50  4250. -4.5  2.0   0.0086
 1.00  4250. -4.5  2.0   0.3069
 1.00  4250. -4.5  2.0   0.2680
 1.00  4250. -4.5  2.0   0.0109
 1.50  4250. -4.5  2.0   0.2615
 1.50  4250. -4.5  2.0   0.3039
 1.50  4250. -4.5  2.0   0.0138
 2.00  4250. -4.5  2.0   0.2218
 2.00  4250. -4.5  2.0   0.3331
 2.00  4250. -4.5  2.0   0.0173
 2.50  4250. -4.5  2.0   0.1928
 2.50  4250. -4.5  2.0   0.3342
 2.50  4250. -4.5  2.0   0.0205
 3.00  4250. -4.5  2.0   0.1194
 3.00  4250. -4.5  2.0   0.3663
 3.00  4250. -4.5  2.0   0.0343
 3.50  4250. -4.5  2.0   0.0505
 3.50  4250. -4.5  2.0   0.3937
 3.50  4250. -4.5  2.0   0.0494
